init_clonal,total_muts,stage,final_clonal,is_poly,starting_sample,n_APC,mix_frac
219,3155,Dysplasia,12,True,A002C103,0,0.85
556,3239,Dysplasia,236,False,F098,0,0.85
756,7911,Dysplasia,253,False,G025,0,0.85
1526,4085,Benign,1393,False,G3,0,0.85
2242,4696,Dysplasia,2242,False,A002C203,0,0.85
297,4715,Benign,0,True,A001C102,1,0.85
428,3877,Dysplasia,0,True,A001C004,1,0.85
326,4674,Dysplasia,58,True,G051,0,0.85
1338,5062,Dysplasia,1147,False,F076B,0,0.85
459,3956,Dysplasia,1,True,F092,0,0.85
1544,8246,Dysplasia,1187,False,A002C204,0,0.85
2056,6029,Dysplasia,1303,False,G005,0,0.85
1440,7050,Dysplasia,1119,False,F088B,1,0.85
416,3658,Dysplasia,0,True,F-26,0,0.85
302,2674,Dysplasia,4,True,A002C116,1,0.85
459,3960,Dysplasia,1,True,F092,0,0.85
782,2056,Dysplasia,602,False,G61B,1,0.85
424,3379,Dysplasia,17,True,F037,1,0.85
1338,5111,Dysplasia,1147,False,F076B,0,0.85
945,5546,Dysplasia,0,True,F-6,0,0.85
612,4687,Dysplasia,17,True,G043,1,0.85
2482,4984,Dysplasia,2482,False,G004,1,0.85
324,4676,Dysplasia,58,True,G051,0,0.85
1544,8246,Dysplasia,1187,False,A002C204,0,0.85
1167,5675,Dysplasia,766,False,F074B,0,0.85
624,3401,Dysplasia,176,False,A002C016,0,0.85
756,7911,Dysplasia,253,False,G025,0,0.85
976,5547,Dysplasia,41,True,F-6,0,0.85
1440,7049,Dysplasia,1119,False,F088B,1,0.85
205,7649,Dysplasia,4,True,G062,0,0.85
782,2105,Mucosa,602,False,G61B,1,0.85
262,2259,Benign,0,True,F-31,0,0.85
366,2629,Benign,19,True,G38,1,0.85
1450,3194,Dysplasia,1415,False,G6B,0,0.85
2240,4745,Dysplasia,2240,False,A002C203,0,0.85
198,5498,Dysplasia,0,True,F002,1,0.85
612,4687,Dysplasia,17,True,G043,1,0.85
1653,3507,Dysplasia,1653,False,F073B,0,0.85
934,3403,Mucosa,377,False,A014C001,1,0.85
303,2674,Dysplasia,4,True,A002C116,1,0.85
1449,7050,Dysplasia,1123,False,F088B,1,0.85
945,5546,Dysplasia,0,True,F-6,0,0.85
1167,5675,Dysplasia,766,False,F074B,0,0.85
1167,5675,Dysplasia,766,False,F074B,0,0.85
612,4687,Dysplasia,17,True,G043,1,0.85
237,2331,Benign,0,True,F-57,1,0.85
198,5498,Dysplasia,0,True,F002,1,0.85
1918,7422,Dysplasia,1380,False,G044,0,0.85
431,3867,Dysplasia,0,True,A001C004,1,0.85
1450,3194,Dysplasia,1415,False,G6B,0,0.85
2486,4972,Dysplasia,2486,False,G004,1,0.85
974,5547,Dysplasia,1,True,F-6,0,0.85
1338,5062,Dysplasia,1147,False,F076B,0,0.85
431,3868,Mucosa,0,True,A001C004,1,0.85
376,5730,Dysplasia,1,True,F007,0,0.85
505,5780,Dysplasia,69,False,F072B,0,0.85
1526,4085,Benign,1393,False,G3,0,0.85
1653,3492,Dysplasia,1653,False,F073B,0,0.85
427,3658,Dysplasia,0,True,F063,0,0.85
119,2579,Dysplasia,1,True,A002C207,0,0.85
219,3155,Dysplasia,12,True,A002C103,0,0.85
366,2629,Benign,19,True,G38,1,0.85
1338,5062,Dysplasia,1147,False,F076B,0,0.85
281,2087,Benign,15,True,G69,0,0.85
934,3399,Dysplasia,377,False,A014C001,1,0.85
371,5729,Dysplasia,0,True,F007,0,0.85
773,3040,Dysplasia,568,False,F008,1,0.85
376,3836,Benign,92,False,G31,0,0.85
198,5498,Dysplasia,0,True,F002,1,0.85
220,3155,Dysplasia,12,True,A002C103,0,0.85
198,5498,Dysplasia,0,True,F002,1,0.85
203,3150,Dysplasia,4,True,A002C107,0,0.85
1421,2692,Dysplasia,1478,False,A002C202,0,0.85
219,3155,Dysplasia,12,True,A002C103,0,0.85
416,3658,Dysplasia,0,True,F-26,0,0.85
324,4674,Dysplasia,58,True,G051,0,0.85
1526,4085,Benign,1393,False,G3,0,0.85
424,3379,Dysplasia,17,True,F037,1,0.85
1948,4327,Dysplasia,1911,False,F080B,0,0.85
459,3968,Dysplasia,1,True,F092,0,0.85
376,3836,Benign,92,False,G31,0,0.85
1653,3492,Dysplasia,1653,False,F073B,0,0.85
459,3956,Dysplasia,1,True,F092,0,0.85
1420,2692,Dysplasia,1477,False,A002C202,0,0.85
1440,7049,Dysplasia,1119,False,F088B,1,0.85
1086,3870,Dysplasia,949,False,A002C010,0,0.85
505,5784,Dysplasia,69,False,F072B,0,0.85
219,3167,Dysplasia,12,True,A002C103,0,0.85
262,2259,Benign,0,True,F-31,0,0.85
459,3960,Dysplasia,1,True,F092,0,0.85
1918,7434,Dysplasia,1380,False,G044,0,0.85
1176,5677,Dysplasia,792,False,F074B,0,0.85
773,3040,Dysplasia,568,False,F008,1,0.85
205,7649,Dysplasia,4,True,G062,0,0.85
756,7911,Dysplasia,253,False,G025,0,0.85
427,5246,Benign,0,True,G9,1,0.85
756,7911,Dysplasia,253,False,G025,0,0.85
782,2057,Mucosa,602,False,G61B,1,0.85
1948,4327,Dysplasia,1911,False,F080B,0,0.85
1544,8248,Mucosa,1186,False,A002C204,0,0.85
324,4676,Dysplasia,58,True,G051,0,0.85
366,2629,Benign,19,True,G38,1,0.85
2056,6029,Dysplasia,1303,False,G005,0,0.85
1544,8295,Dysplasia,1186,False,A002C204,0,0.85
554,3384,Benign,25,True,G63,0,0.85
237,2331,Benign,0,True,F-57,1,0.85
424,3380,Dysplasia,17,True,F037,1,0.85
219,3155,Dysplasia,12,True,A002C103,0,0.85
324,4674,Dysplasia,58,True,G051,0,0.85
302,2676,Mucosa,4,True,A002C116,1,0.85
555,3238,Dysplasia,232,False,F098,0,0.85
1948,4327,Dysplasia,1911,False,F080B,0,0.85
205,7649,Dysplasia,4,True,G062,0,0.85
782,2056,Dysplasia,602,False,G61B,1,0.85
552,3237,Dysplasia,229,False,F098,0,0.85
205,7649,Dysplasia,4,True,G062,0,0.85
756,7911,Dysplasia,254,False,G025,0,0.85
2482,4972,Dysplasia,2482,False,G004,1,0.85
555,3238,Dysplasia,232,False,F098,0,0.85
505,5780,Dysplasia,69,False,F072B,0,0.85
119,2581,Dysplasia,1,True,A002C207,0,0.85
1338,5062,Dysplasia,1147,False,F076B,0,0.85
297,4713,Benign,0,True,A001C102,1,0.85
119,2577,Dysplasia,1,True,A002C207,0,0.85
624,3413,Dysplasia,176,False,A002C016,0,0.85
1544,8246,Dysplasia,1186,False,A002C204,0,0.85
554,3384,Benign,25,True,G63,0,0.85
2482,4972,Dysplasia,2482,False,G004,1,0.85
425,3394,Dysplasia,17,True,F037,1,0.85
198,5498,Dysplasia,0,True,F002,1,0.85
371,5778,Dysplasia,0,True,F007,0,0.85
505,5780,Dysplasia,69,False,F072B,0,0.85
376,3836,Benign,92,False,G31,0,0.85
1450,3194,Dysplasia,1415,False,G6B,0,0.85
1302,3760,Dysplasia,1158,False,G061,1,0.85
2056,6029,Dysplasia,1303,False,G005,0,0.85
934,3400,Mucosa,377,False,A014C001,1,0.85
281,2087,Benign,15,True,G69,0,0.85
756,7911,Dysplasia,253,False,G025,0,0.85
262,2259,Benign,0,True,F-31,0,0.85
1300,3760,Dysplasia,1156,False,G061,1,0.85
324,4674,Dysplasia,58,True,G051,0,0.85
624,3401,Dysplasia,176,False,A002C016,0,0.85
1167,5675,Dysplasia,766,False,F074B,0,0.85
281,2087,Benign,15,True,G69,0,0.85
424,3379,Dysplasia,17,True,F037,1,0.85
1544,8258,Dysplasia,1186,False,A002C204,0,0.85
756,7911,Dysplasia,253,False,G025,0,0.85
1440,7049,Dysplasia,1119,False,F088B,1,0.85
427,5246,Benign,0,True,G9,1,0.85
324,4674,Dysplasia,58,True,G051,0,0.85
773,3040,Dysplasia,568,False,F008,1,0.85
428,5248,Benign,0,True,G9,1,0.85
2482,4984,Dysplasia,2482,False,G004,1,0.85
281,2099,Benign,15,True,G69,0,0.85
297,4713,Benign,0,True,A001C102,1,0.85
552,3237,Dysplasia,229,False,F098,0,0.85
2056,6029,Dysplasia,1303,False,G005,0,0.85
324,4674,Dysplasia,58,True,G051,0,0.85
302,2674,Dysplasia,4,True,A002C116,1,0.85
782,2056,Dysplasia,602,False,G61B,1,0.85
198,5498,Dysplasia,0,True,F002,1,0.85
505,5780,Dysplasia,69,False,F072B,0,0.85
433,3906,Dysplasia,0,True,A001C004,1,0.85
1421,2692,Dysplasia,1478,False,A002C202,0,0.85
297,4713,Benign,0,True,A001C102,1,0.85
2056,6029,Dysplasia,1303,False,G005,0,0.85
376,3836,Benign,92,False,G31,0,0.85
1300,3760,Dysplasia,1156,False,G061,1,0.85
773,3040,Dysplasia,568,False,F008,1,0.85
552,3237,Dysplasia,229,False,F098,0,0.85
1544,8246,Dysplasia,1186,False,A002C204,0,0.85
262,2259,Benign,0,True,F-31,0,0.85
198,5498,Dysplasia,0,True,F002,1,0.85
379,3837,Benign,114,False,G31,0,0.85
431,3869,Dysplasia,0,True,A001C004,1,0.85
773,3040,Dysplasia,568,False,F008,1,0.85
431,3867,Dysplasia,0,True,A001C004,1,0.85
366,2629,Benign,19,True,G38,1,0.85
1338,5063,Dysplasia,1147,False,F076B,0,0.85
237,2331,Benign,0,True,F-57,1,0.85
431,3867,Dysplasia,0,True,A001C004,1,0.85
1918,7422,Dysplasia,1380,False,G044,0,0.85
427,3673,Dysplasia,0,True,F063,0,0.85
431,3867,Dysplasia,0,True,A001C004,1,0.85
371,5744,Dysplasia,0,True,F007,0,0.85
302,2723,Dysplasia,4,True,A002C116,1,0.85
1167,5675,Dysplasia,766,False,F074B,0,0.85
1440,7097,Dysplasia,1119,False,F088B,1,0.85
624,3401,Dysplasia,176,False,A002C016,0,0.85
237,2331,Benign,0,True,F-57,1,0.85
756,7911,Dysplasia,253,False,G025,0,0.85
427,3658,Dysplasia,0,True,F063,0,0.85
2056,6029,Dysplasia,1303,False,G005,0,0.85
2240,4698,Mucosa,2240,False,A002C203,0,0.85
446,4316,Dysplasia,3,True,F061,0,0.85
773,3040,Dysplasia,568,False,F008,1,0.85
459,3956,Dysplasia,1,True,F092,0,0.85
262,2259,Benign,0,True,F-31,0,0.85
366,2629,Benign,19,True,G38,1,0.85
