,immune,stromal,epithelial,DiseaseState
A014-C-013,0.06363363062431106,0.01463072452149514,0.9217356448541938,Polyp
A002-C-021,0.11059190031152648,0.036344755970924195,0.8530633437175493,Polyp
A001-C-207,0.19533412415974694,0.023527085804665875,0.7811387900355872,Polyp
B004-A-004,0.24452638856879466,0.34754551740032263,0.4079280940308827,Normal
F072B,0.12321903867230312,0.01565680288085173,0.8611241584468452,Polyp
A014-C-052,0.3470394736842105,0.033717105263157895,0.6192434210526315,Unaffected
B001-A-302,0.03432814908224744,0.039932744850777635,0.925739106066975,Normal
A014-C-114,0.43228962818003913,0.049315068493150684,0.5183953033268102,Unaffected
A001-C-014,0.18862161130202368,0.027491408934707903,0.7838869797632684,Polyp
A002-C-202,0.09011857707509881,0.013241106719367589,0.8966403162055336,Polyp
A010-E-023,0.18236262913609821,0.07036981584069471,0.7472675550232071,Polyp
A018-E-020,0.11942325775781006,0.04430049106676418,0.8362762511754258,Polyp
A015-C-010,0.19934167215273205,0.053061224489795916,0.747597103357472,Unaffected
A014-C-111,0.4101342572542226,0.07131514364082575,0.5185505991049516,Unaffected
A015-C-206,0.11057979677226538,0.05469216975493126,0.8347280334728033,Unaffected
A002-C-201,0.045036516094130376,0.013118744928320259,0.9418447389775494,Polyp
A015-C-002,0.12556909972095756,0.04464679101189602,0.8297841092671464,Polyp
A002-C-204,0.08769716088328075,0.024185068349106203,0.888117770767613,Polyp
B001-A-406,0.08684794672586016,0.17175360710321866,0.7413984461709212,Normal
A014-C-008,0.1348357524828113,0.014514896867838044,0.8506493506493507,Polyp
A001-C-203,0.1751135331516803,0.03905540417801998,0.7858310626702997,Polyp
A014-C-054,0.31718510963793983,0.05711371749107598,0.6257011728709841,Unaffected
A015-C-001,0.574468085106383,0.3125,0.11303191489361702,Adenocarcinoma
A001-C-124,0.10833840535605599,0.06299452221545952,0.8286670724284845,Unaffected
F034,0.13926408942710758,0.025151374010246856,0.8355845365626455,Polyp
A018-E-013,0.10962869729389553,0.044808055380742604,0.8455632473253618,Polyp
A002-C-205,0.10929829627490616,0.021368755414380596,0.8693329483107133,Polyp
A015-C-208,0.16957403651115618,0.03488843813387424,0.7955375253549696,Unaffected
CRC-1-8810,0.11275914377212203,0.052250126411596154,0.8349907298162819,Adenocarcinoma
A002-C-010,0.03290218270008084,0.010751818916734034,0.9563459983831851,Polyp
A002-C-025,0.07415437987857762,0.037033824804856896,0.8888117953165655,Unaffected
A015-C-008,0.10942071386775892,0.014043300175541252,0.8765359859566998,Unaffected
