sample_id	chrom	loc_start	loc_end	seg	num_mark	nhet	cnlr_median	mafR	segclust	cnlr_median_clust	mafR_clust	cf	tcn	lcn	cf_em	tcn_em	lcn_em	patient
G9	chr1	10583	879350	1	940	84	-0.041677681593639	0.0662926314905501	13	-0.0517201023531863	0.0261948482634462	1.0	2	1.0	1.0	2	1.0	G001
G9	chr1	879750	921096	2	160	15	0.0780118385294821	0.183986375044683	22	0.0825583836795452	0.0641357602301806	1.0	2	1.0	0.290233163488087	3	1.0	G001
G9	chr1	921487	3764900	3	9996	1838	0.2057664594113719	0.0186194263886839	27	0.202814161028338	0.0037829378218187	0.2264241237777189	3	1.0	0.136538662607418	4	2.0	G001
G9	chr1	3765250	5532200	4	6957	1628	0.0789404786874179	0.0010424013453637	21	0.0825583836795452	-0.0074713436405974	1.0	2	1.0	1.0	2	1.0	G001
G9	chr1	5532350	33132018	5	105902	15380	0.126146570267993	-0.0037697319135775	24	0.132208675018399	-0.0059754117972338	0.0990322408095279	3	1.0	0.181325859862866	3	1.0	G001
G9	chr1	33132187	46663355	6	53203	6964	0.0815051514861034	-0.0092469508902844	21	0.0825583836795452	-0.0074713436405974	1.0	2	1.0	1.0	2	1.0	G001
G9	chr1	46663500	68379150	7	86108	12881	0.0005294538666482	-0.0047493613700039	14	0.0007522391139418	-0.0059590278894575	1.0	2	1.0	1.0	2	1.0	G001
G9	chr1	68379644	83904710	8	61567	10200	-0.0949608193661955	-0.0072456601254253	10	-0.107427982631479	-0.0066857254649034	1.0	2	1.0	1.0	2	1.0	G001
G9	chr1	83905000	95291678	9	45167	5342	-0.0182245669956351	-0.0097499407629239	14	0.0007522391139418	-0.0059590278894575	1.0	2	1.0	1.0	2	1.0	G001
G9	chr1	95291951	107839650	10	49365	8914	-0.104760711980181	-0.0109727041170772	10	-0.107427982631479	-0.0066857254649034	1.0	2	1.0	1.0	2	1.0	G001
G9	chr1	107839916	149918500	11	73000	8017	-0.0094281766739713	-0.0059815885405768	14	0.0007522391139418	-0.0059590278894575	1.0	2	1.0	1.0	2	1.0	G001
G9	chr1	149918704	157076750	12	27955	2606	0.0677799167780166	-0.0081441199358115	21	0.0825583836795452	-0.0074713436405974	1.0	2	1.0	1.0	2	1.0	G001
G9	chr1	157076968	185704907	13	113442	19541	-0.0073664053003616	-0.0076996963924633	14	0.0007522391139418	-0.0059590278894575	1.0	2	1.0	1.0	2	1.0	G001
G9	chr1	185705283	197739100	14	47761	8096	-0.130318165002463	-0.0029369742360371	10	-0.107427982631479	-0.0066857254649034	1.0	2	1.0	1.0	2	1.0	G001
G9	chr1	197739530	199868600	15	8462	1424	-0.0501572485112406	-0.0004661903479296	11	-0.0517201023531863	-0.0055637234567488	1.0	2	1.0	1.0	2	1.0	G001
G9	chr1	199868977	205913753	16	23881	3477	0.0685609690031875	-0.0070941804250919	21	0.0825583836795452	-0.0074713436405974	1.0	2	1.0	1.0	2	1.0	G001
